Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
5/27/2013,9767,9767,21.533,"21,533",17216,2043,0,0
5/28/2013,5215,14982,8.78,"30,313",19816,2598,0,0
5/29/2013,10981,25963,21.898,"52,211",21986,2167,0,0
5/30/2013,9850,35813,20.321,"72,532",23985,1998,0,0
5/31/2013,9253,45066,20.243,"92,775",25615,1630,0,0
6/1/2013,9852,54918,26.347,"119,122",26756,1141,0,0
6/2/2013,17590,72508,52.143,"171,266",28253,1496,4723,289
6/3/2013,8599,81107,18.907,"190,173",29616,1363,1160,221
6/4/2013,17589,98696,48.666,"238,839",31095,1479,2922,394
6/5/2013,17433,116129,44.917,"283,757",32620,1530,2821,279
6/6/2013,13732,129861,30.987,"314,743",33954,1334,1872,210
6/7/2013,1393,131254,2.065,"316,809",34449,495,66,11
6/8/2013,19899,151153,54.665,"371,473",35233,784,5013,230
6/9/2013,23236,174389,71.604,"443,077",36295,1062,5772,275
6/10/2013,4504,178893,10.138,"453,215",37086,791,290,82
6/11/2013,14638,193531,34.63,"487,845",37894,808,1836,273
6/12/2013,18960,212491,45.714,"533,559",38805,911,2767,316
6/13/2013,8782,221273,15.075,"548,634",39442,637,701,119
6/14/2013,16423,237696,33.98,"582,614",40078,636,2268,211
6/15/2013,27276,264972,72.792,"655,406",40702,624,6107,319
6/16/2013,23610,288582,59.573,"714,979",41541,839,4413,314
6/17/2013,21278,309860,43.897,"758,876",42564,1023,2378,530
6/18/2013,14826,324686,27.67,"786,546",43394,830,1236,277
6/19/2013,26267,350953,54.405,"840,951",44223,829,2678,607
6/20/2013,28994,379947,59.935,"900,886",45024,801,2814,421
6/21/2013,30660,410607,64.872,"965,759",45815,791,3465,408
6/22/2013,31885,442492,80.433,"1,046,191",46448,633,5902,383
6/23/2013,30653,473145,76.45,"1,122,641",47203,755,4959,279
6/24/2013,26636,499781,50.664,"1,173,305",48135,932,1844,386
6/25/2013,30426,530207,56.075,"1,229,380",48915,780,1937,343
6/26/2013,32322,562529,59.663,"1,289,043",49665,750,2000,301
6/27/2013,28094,590623,55.26,"1,344,304",50355,690,1680,223
6/28/2013,30595,621218,58.037,"1,402,340",51029,674,2268,291
6/29/2013,32947,654165,77.226,"1,479,567",51505,476,4895,296
6/30/2013,27285,681450,61.052,"1,540,619",52125,620,3592,178
7/1/2013,20151,701601,36.168,"1,576,787",52722,597,846,167
7/2/2013,26682,728283,48.733,"1,625,520",53310,588,1435,219
7/3/2013,25509,753792,46.016,"1,671,537",53748,438,1419,189
7/4/2013,26004,779796,63.674,"1,735,210",54073,325,4219,257
7/5/2013,25541,805337,53.419,"1,788,629",54507,434,2803,215
7/6/2013,23697,829034,53.761,"1,842,391",54843,336,3178,172
7/7/2013,23688,852722,50.634,"1,893,025",55284,441,2703,186
7/8/2013,26063,878785,49.831,"1,942,856",55971,687,1453,321
7/9/2013,30929,909714,55.499,"1,998,355",56610,639,1379,287
7/10/2013,30705,940419,55.948,"2,054,304",57194,584,1435,223
7/11/2013,29689,970108,56.393,"2,110,697",57725,531,1478,196
7/12/2013,22817,992925,39.97,"2,150,667",58133,408,1096,118
7/13/2013,30132,1023057,64.833,"2,215,501",58495,362,3285,213
7/14/2013,33545,1056602,75.02,"2,290,520",58954,459,3681,224
7/15/2013,32565,1089167,57.755,"2,348,275",59593,639,1382,273
7/16/2013,34757,1123924,61.856,"2,410,132",60129,536,1288,251
7/17/2013,35172,1159096,60.698,"2,470,829",60619,490,1303,201
7/18/2013,33222,1192318,56.228,"2,527,057",61008,389,1094,143
7/19/2013,30667,1222985,52.784,"2,579,841",61366,358,1389,164
7/20/2013,29145,1252130,58.799,"2,638,640",61652,286,2811,169
7/21/2013,34694,1286824,76.31,"2,714,950",62074,422,3502,191
7/22/2013,29787,1316611,50.145,"2,765,095",62577,503,1005,184
7/23/2013,37296,1353907,65.911,"2,831,006",63026,449,1390,220
7/24/2013,40699,1394606,74.469,"2,905,475",63466,440,1708,211
7/25/2013,36207,1430813,62.188,"2,967,663",63822,356,1163,144
7/26/2013,39499,1470312,72.71,"3,040,373",64182,360,2073,176
7/27/2013,37131,1507443,82.27,"3,122,643",64495,313,4259,197
7/28/2013,26780,1534223,53.562,"3,176,204",64884,389,2391,137
7/29/2013,40018,1574241,73.425,"3,249,630",65381,497,1712,275
7/30/2013,42982,1617223,77.917,"3,327,547",65855,474,1701,237
7/31/2013,42745,1659968,76.982,"3,404,528",66310,455,1692,186
8/1/2013,23025,1682993,34.794,"3,439,323",66644,334,415,73
8/2/2013,40654,1723647,75.39,"3,514,713",67027,383,2302,230
8/3/2013,34173,1757820,73.3,"3,588,013",67293,266,3417,180
8/4/2013,40103,1797923,93.191,"3,681,204",67685,392,4547,261
8/5/2013,41759,1839682,78.764,"3,759,968",68242,557,1924,276
8/6/2013,42974,1882656,79.262,"3,839,230",68744,502,1778,222
8/7/2013,39120,1921776,66.709,"3,905,939",69137,393,1261,183
8/8/2013,32063,1953839,51.665,"3,957,604",69436,299,946,137
8/9/2013,32926,1986765,54.952,"4,012,556",69722,286,1269,134
8/10/2013,43368,2030133,103.744,"4,116,300",69996,274,5567,223
8/11/2013,37161,2067294,83.004,"4,199,304",70368,372,3826,234
8/12/2013,35646,2102940,62.896,"4,262,200",70799,431,1314,257
8/13/2013,25569,2128509,44.374,"4,306,574",71121,322,787,111
8/14/2013,43437,2171946,78.481,"4,385,055",71481,360,1727,219
8/15/2013,42922,2214868,76.299,"4,461,354",71862,381,1733,179
8/16/2013,41251,2256119,77.044,"4,538,398",72207,345,2085,170
8/17/2013,44284,2300403,104.29,"4,642,688",72471,264,5729,217
8/18/2013,31512,2331915,62.738,"4,705,426",72846,375,2524,160
8/19/2013,37922,2369837,65.704,"4,771,130",73299,453,1395,236
8/20/2013,41155,2410992,72.697,"4,843,827",73703,404,1491,233
8/21/2013,41718,2452710,73.198,"4,917,024",74080,377,1365,176
8/22/2013,30747,2483457,51.255,"4,968,280",74400,320,787,128
8/23/2013,38716,2522173,72.175,"5,040,455",74713,313,1965,157
8/24/2013,38049,2560222,81.052,"5,121,507",75012,299,3933,194
8/25/2013,36641,2596863,80.733,"5,202,240",75372,360,3626,199
8/26/2013,34812,2631675,61.473,"5,263,713",75756,384,1098,190
8/27/2013,39258,2670933,67.086,"5,330,798",76123,367,1222,188
8/28/2013,32262,2703195,53.456,"5,384,254",76402,279,765,102
8/29/2013,38626,2741821,65.917,"5,450,171",76669,267,1363,141
8/30/2013,36870,2778691,67.249,"5,517,420",76922,253,1872,165
8/31/2013,28547,2807238,60.049,"5,577,469",77133,211,3064,174
9/1/2013,28330,2835568,61.096,"5,638,565",77331,198,3273,148
9/2/2013,24094,2859662,46.06,"5,684,625",77609,278,1829,121
9/3/2013,36963,2896625,62.807,"5,747,431",77997,388,1015,157
9/4/2013,42085,2938710,73.701,"5,821,132",78388,391,1263,176
9/5/2013,40817,2979527,70.544,"5,891,676",78726,338,1354,185
9/6/2013,40930,3020457,72.124,"5,963,800",79010,284,1556,155
9/7/2013,38950,3059407,80.08,"6,043,881",79273,263,3600,200
9/8/2013,37536,3096943,76.326,"6,120,207",79649,376,3025,182
9/9/2013,40539,3137482,70.713,"6,190,920",80049,400,1060,203
9/10/2013,42038,3179520,71.115,"6,262,034",80350,301,986,182
9/11/2013,40533,3220053,67.437,"6,329,471",80645,295,1046,147
9/12/2013,35065,3255118,56.447,"6,385,918",80910,265,756,126
9/13/2013,41200,3296318,70.849,"6,456,767",81164,254,1375,145
9/14/2013,35363,3331681,69.18,"6,525,948",81370,206,3035,153
9/15/2013,35843,3367524,72.551,"6,598,498",81650,280,3010,167
9/16/2013,35106,3402630,56.195,"6,654,693",81970,320,781,149
9/17/2013,43117,3445747,70.847,"6,725,540",82207,237,971,170
9/18/2013,42936,3488683,71.355,"6,796,896",82480,273,1078,152
9/19/2013,43920,3532603,73.659,"6,870,554",82735,255,1209,154
9/20/2013,43895,3576498,75.094,"6,945,648",82959,224,1631,156
9/21/2013,35348,3611846,70.321,"7,015,969",83161,202,3096,132
9/22/2013,33105,3644951,64.758,"7,080,726",83412,251,2479,136
9/23/2013,38963,3683914,64.157,"7,144,883",83689,276,1006,171
9/24/2013,42954,3726868,70.402,"7,215,286",83922,233,1158,153
9/25/2013,42639,3769507,70.5,"7,285,786",84130,208,966,133
9/26/2013,42247,3811754,68.646,"7,354,431",84305,175,973,117
9/27/2013,41368,3853122,68.977,"7,423,409",84519,213,1321,137
9/28/2013,38939,3892061,78.4,"7,501,809",84712,193,3452,126
9/29/2013,36040,3928101,70.652,"7,572,461",84913,201,2718,161
9/30/2013,41079,3969180,67.168,"7,639,629",85236,323,1023,140
10/1/2013,44772,4013952,73.665,"7,713,294",85494,258,1004,
10/2/2013,45667,4059619,76.149,"7,789,442",85773,279,1129,
10/3/2013,44472,4104091,72.635,"7,862,077",86333,560,1076,
10/4/2013,44089,4148180,74.223,"7,936,300",87112,779,1434,
10/5/2013,37683,4185863,73.892,"8,010,192",87862,750,2971,
10/6/2013,29029,4214892,49.887,"8,060,079",88604,742,1368,
10/7/2013,27504,4242396,40.324,"8,100,403",89189,585,421,
10/8/2013,42200,4284596,69.116,"8,169,518",89521,332,896,
10/9/2013,40607,4325203,62.214,"8,231,732",89769,248,714,
10/10/2013,34107,4359310,49.732,"8,281,464",89951,182,482,
10/11/2013,36381,4395691,56.497,"8,337,961",90121,170,798,
10/12/2013,35480,4431171,69.841,"8,407,802",90301,180,2855,
10/13/2013,31501,4462672,59.556,"8,467,357",90522,221,2208,
10/14/2013,36186,4498858,60.261,"8,527,618",90770,248,1291,
10/15/2013,41459,4540317,66.625,"8,594,243",90977,207,934,
10/16/2013,40644,4580961,64.115,"8,658,358",91171,194,789,
10/17/2013,40363,4621324,63.927,"8,722,285",91343,172,815,
10/18/2013,41775,4663099,69.165,"8,791,450",91551,208,1267,
10/19/2013,32469,4695568,59.523,"8,850,973",91659,108,2146,
10/20/2013,32016,4727584,60.67,"8,911,643",91815,156,2114,
10/21/2013,38348,4765932,62.216,"8,973,859",92029,214,849,
10/22/2013,39741,4805673,60.424,"9,034,282",92213,184,636,
10/23/2013,35358,4841031,50.319,"9,084,602",92324,111,355,
10/24/2013,35238,4876269,50.61,"9,135,212",92410,86,444,
10/25/2013,33711,4909980,50.109,"9,185,320",92505,95,592,
10/26/2013,26653,4936633,45.372,"9,230,693",92598,93,1387,
10/27/2013,25980,4962613,44.415,"9,275,108",92698,100,1362,
10/28/2013,34298,4996911,52.643,"9,327,752",92844,146,530,
10/29/2013,36280,5033191,53.765,"9,381,516",92944,100,450,
10/30/2013,37817,5071008,54.94,"9,436,457",93035,91,453,
10/31/2013,33991,5104999,51.283,"9,487,740",93137,102,464,
11/1/2013,33193,5138192,52.035,"9,539,774",93221,84,848,
11/2/2013,33688,5171880,64.833,"9,604,607",93320,94,2434,
11/3/2013,22414,5194294,34.853,"9,639,461",93424,104,831,
11/4/2013,29474,5223768,42.802,"9,682,263",93495,71,429,
11/5/2013,34179,5257947,49.677,"9,731,940",93598,103,471,
11/6/2013,37785,5295732,58.125,"9,790,064",93706,108,627,
11/7/2013,27849,5323581,38.518,"9,828,583",93804,93,221,
11/8/2013,31032,5354613,45.872,"9,874,455",93859,61,456,
11/9/2013,23522,5378135,39.116,"9,913,570",93918,59,1121,
11/10/2013,21270,5399405,33.486,"9,947,057",93969,51,952,
11/11/2013,29544,5428949,43.019,"9,990,076",94061,92,438,
11/12/2013,21505,5450454,27.48,"10,017,556",94127,66,111,
11/13/2013,25504,5475958,33.933,"10,051,489",94189,62,157,
11/14/2013,29194,5505152,40.663,"10,092,152",94250,61,274,
11/15/2013,31526,5536678,47.207,"10,139,359",94305,55,601,
11/16/2013,27208,5563886,48.1,"10,187,459",94361,56,1696,
11/17/2013,19397,5583283,29.366,"10,216,825",94425,64,652,
11/18/2013,33718,5617001,52.401,"10,269,226",94533,108,515,
11/19/2013,29633,5646634,40.023,"10,309,249",94593,60,198,
11/20/2013,28286,5674920,37.925,"10,347,174",94652,59,252,
11/21/2013,31089,5706009,43.428,"10,390,602",94697,51,289,
11/22/2013,27503,5733512,38.76,"10,429,362",94739,42,352,
11/23/2013,20396,5753908,31.638,"10,461,001",94768,29,858,
11/24/2013,10069,5763977,12.248,"10,473,249",94808,40,137,
11/25/2013,20649,5784626,26.562,"10,499,811",94843,35,118,
11/26/2013,16206,5800832,20.283,"10,520,094",94873,30,89,
11/27/2013,8615,5809447,10.329,"10,530,423",94897,24,49,
11/28/2013,5668,5815115,8.377,"10,538,800",94912,15,211,
11/29/2013,10967,5826082,15.406,"10,554,207",94928,16,351,
11/30/2013,10605,5836687,15.508,"10,569,715",94955,27,401,
12/1/2013,14322,5851009,21.121,"10,590,837",94997,42,456,
12/2/2013,26522,5877531,37.728,"10,628,564",95071,74,240,
12/3/2013,29766,5907297,42.165,"10,670,729",95140,69,252,
12/4/2013,30472,5937769,43.92,"10,714,650",95197,57,252,
12/5/2013,29222,5966991,41.99,"10,756,639",95250,53,311,
12/6/2013,11626,5978617,14.674,"10,771,314",95296,46,62,
12/7/2013,16868,5995485,24.381,"10,795,695",95334,38,456,
12/8/2013,10892,6006377,14.17,"10,809,865",95354,20,180,
12/9/2013,16192,6022569,20.537,"10,830,402",95401,35,58,
12/10/2013,13947,6036516,17.766,"10,848,168",95418,34,39,
12/11/2013,20369,6056885,25.839,"10,874,007",95444,26,93,
12/12/2013,18552,6075437,23.242,"10,897,249",95479,35,69,
12/13/2013,19381,6094818,25.662,"10,922,911",95507,28,161,
12/14/2013,3983,6098801,5.072,"10,927,983",95516,9,39,
12/15/2013,8127,6106928,10.192,"10,938,175",95535,19,76,
12/16/2013,16842,6123770,21.353,"10,959,528",95568,33,67,
12/17/2013,8552,6132322,11.009,"10,970,536",95596,28,15,
12/18/2013,16246,6148568,21.251,"10,991,787",95628,32,89,
12/19/2013,20309,6168877,26.954,"11,018,742",95662,34,157,
12/20/2013,23849,6192726,33.51,"11,052,252",95687,25,365,
12/21/2013,19362,6212088,32.36,"11,084,612",95723,36,962,
12/22/2013,16338,6228426,26.291,"11,110,903",95765,42,741,
12/23/2013,7516,6235942,9.407,"11,120,309",95793,28,70,
12/24/2013,11971,6247913,15.563,"11,135,872",95823,30,175,
12/25/2013,3523,6251436,5.458,"11,141,330",95869,46,184,
12/26/2013,10570,6262006,13.556,"11,154,886",95920,51,134,
12/27/2013,12649,6274655,17.629,"11,172,515",95969,49,279,
12/28/2013,12867,6287522,21.988,"11,194,503",96005,36,821,
12/29/2013,4070,6291592,4.986,"11,199,489",96032,27,104,
12/30/2013,14222,6305814,19.982,"11,219,471",96084,52,336,
12/31/2013,11349,6317163,14.856,"11,234,326",96125,41,237,