URL,NAME,LINE
http://www.mta.info/nyct/subway/index.html,Elder Ave,6
http://www.mta.info/nyct/subway/index.html,Morrison Av - Soundview,6
http://www.mta.info/nyct/subway/index.html,Longwood Ave,6
http://www.mta.info/nyct/subway/index.html,Astoria Blvd,N-Q
http://www.mta.info/nyct/subway/index.html,Astoria - Ditmars Blvd,N-Q
http://www.mta.info/nyct/subway/index.html,Jackson Ave,2-5
http://www.mta.info/nyct/subway/index.html,Prospect Ave,2-5
http://www.mta.info/nyct/subway/index.html,Cypress Ave,6
http://www.mta.info/nyct/subway/index.html,Whitlock Ave,6
http://www.mta.info/nyct/subway/index.html,Intervale Ave,2-5
http://www.mta.info/nyct/subway/index.html,174th St,2-5
http://www.mta.info/nyct/subway/index.html,Pelham Pkwy,2-5
http://www.mta.info/nyct/subway/index.html,Allerton Ave,2-5
http://www.mta.info/nyct/subway/index.html,E 143rd St - St Mary's St,6
http://www.mta.info/nyct/subway/index.html,Kingsbridge Rd,4
http://www.mta.info/nyct/subway/index.html,Bedford Park Blvd - Lehman College,4
http://www.mta.info/nyct/subway/index.html,Harlem - 148 St,3
http://www.mta.info/nyct/subway/index.html,Mt Eden Ave,4
http://www.mta.info/nyct/subway/index.html,Fordham Rd,B-D
http://www.mta.info/nyct/subway/index.html,170th St,4
http://www.mta.info/nyct/subway/index.html,Kingsbridge Rd,B-D
http://www.mta.info/nyct/subway/index.html,Bedford Park Blvd,B-D
http://www.mta.info/nyct/subway/index.html,Marble Hill - 225th St,1
http://www.mta.info/nyct/subway/index.html,231st St,1
http://www.mta.info/nyct/subway/index.html,215th St,1
http://www.mta.info/nyct/subway/index.html,207th St,1
http://www.mta.info/nyct/subway/index.html,Inwood - 207th St,A
http://www.mta.info/nyct/subway/index.html,238th St,1
http://www.mta.info/nyct/subway/index.html,Van Cortlandt Park - 242nd St,1
http://www.mta.info/nyct/subway/index.html,West Farms Sq - E Tremont Av,2-5
http://www.mta.info/nyct/subway/index.html,St Lawrence Ave,6
http://www.mta.info/nyct/subway/index.html,Bronx Park East,2-5
http://www.mta.info/nyct/subway/index.html,Gun Hill Rd,2-5
http://www.mta.info/nyct/subway/index.html,219th St,2-5
http://www.mta.info/nyct/subway/index.html,Mosholu Pkwy,4
http://www.mta.info/nyct/subway/index.html,Norwood - 205th St,D
http://www.mta.info/nyct/subway/index.html,Burke Ave,2-5
http://www.mta.info/nyct/subway/index.html,Baychester Ave,5
http://www.mta.info/nyct/subway/index.html,Eastchester - Dyre Ave,5
http://www.mta.info/nyct/subway/index.html,Jamaica - 179th St,F
http://www.mta.info/nyct/subway/index.html,Wakefield - 241st St,2
http://www.mta.info/nyct/subway/index.html,Botanic Garden,S
http://www.mta.info/nyct/subway/index.html,Bushwick - Aberdeen,L
http://www.mta.info/nyct/subway/index.html,Wilson Ave,L
http://www.mta.info/nyct/subway/index.html,Broadway Junction,L
http://www.mta.info/nyct/subway/index.html,Gun Hill Rd,5
http://www.mta.info/nyct/subway/index.html,E 180th St,2-5
http://www.mta.info/nyct/subway/index.html,Dyckman St,1
http://www.mta.info/nyct/subway/index.html,125th St,1
http://www.mta.info/nyct/subway/index.html,Park Pl,S
http://www.mta.info/nyct/subway/index.html,Franklin Ave - Fulton St,S
http://www.mta.info/nyct/subway/index.html,Nereid Ave (238 St),2-5
http://www.mta.info/nyct/subway/index.html,149th St - Grand Concourse,2-5
http://www.mta.info/nyct/subway/index.html,3rd Ave - 149th St,2-5
http://www.mta.info/nyct/subway/index.html,161st St - Yankee Stadium,4
http://www.mta.info/nyct/subway/index.html,167th St,4
http://www.mta.info/nyct/subway/index.html,Brook Ave,6
http://www.mta.info/nyct/subway/index.html,33rd St,7
http://www.mta.info/nyct/subway/index.html,40th St,7
http://www.mta.info/nyct/subway/index.html,145th St,A-B-C-D
http://www.mta.info/nyct/subway/index.html,155th St,B-D
http://www.mta.info/nyct/subway/index.html,161st St - Yankee Stadium,B-D
http://www.mta.info/nyct/subway/index.html,167th St,B-D
http://www.mta.info/nyct/subway/index.html,Ralph Ave,A-C
http://www.mta.info/nyct/subway/index.html,Utica Ave,A-C
http://www.mta.info/nyct/subway/index.html,36th St,E-M-R
http://www.mta.info/nyct/subway/index.html,Steinway St,E-M-R
http://www.mta.info/nyct/subway/index.html,Kosciuszko St,J
http://www.mta.info/nyct/subway/index.html,Gates Ave,J-Z
http://www.mta.info/nyct/subway/index.html,Central Ave,M
http://www.mta.info/nyct/subway/index.html,Knickerbocker Ave,M
http://www.mta.info/nyct/subway/index.html,Broadway,N-Q
http://www.mta.info/nyct/subway/index.html,30th Ave,N-Q
http://www.mta.info/nyct/subway/index.html,Jefferson St,L
http://www.mta.info/nyct/subway/index.html,Morgan Ave,L
http://www.mta.info/nyct/subway/index.html,Queens Plz,E-M-R
http://www.mta.info/nyct/subway/index.html,18th Ave,F
http://www.mta.info/nyct/subway/index.html,Ditmas Ave,F
http://www.mta.info/nyct/subway/index.html,77th St,R
http://www.mta.info/nyct/subway/index.html,Bay Ridge Ave,R
http://www.mta.info/nyct/subway/index.html,55th St,D
http://www.mta.info/nyct/subway/index.html,50th St,D
http://www.mta.info/nyct/subway/index.html,Ft Hamilton Pkwy,N
http://www.mta.info/nyct/subway/index.html,8th Ave,N
http://www.mta.info/nyct/subway/index.html,25th Ave,D
http://www.mta.info/nyct/subway/index.html,Bay Pky,D
http://www.mta.info/nyct/subway/index.html,20th Ave,N
http://www.mta.info/nyct/subway/index.html,18th Ave,N
http://www.mta.info/nyct/subway/index.html,Bay Ridge - 95th St,R
http://www.mta.info/nyct/subway/index.html,86th St,R
http://www.mta.info/nyct/subway/index.html,79th St,D
http://www.mta.info/nyct/subway/index.html,71st St,D
http://www.mta.info/nyct/subway/index.html,20th Ave,D
http://www.mta.info/nyct/subway/index.html,18th Ave,D
http://www.mta.info/nyct/subway/index.html,62nd St,D
http://www.mta.info/nyct/subway/index.html,New Utrecht Ave,N
http://www.mta.info/nyct/subway/index.html,Ave U,F
http://www.mta.info/nyct/subway/index.html,Kings Hwy,F
http://www.mta.info/nyct/subway/index.html,Brighton Beach,B-Q
http://www.mta.info/nyct/subway/index.html,Sheepshead Bay,B-Q
http://www.mta.info/nyct/subway/index.html,Ave U,B-Q
http://www.mta.info/nyct/subway/index.html,Kings Hwy,B-Q
http://www.mta.info/nyct/subway/index.html,Ave U,N
http://www.mta.info/nyct/subway/index.html,Kings Hwy,N
http://www.mta.info/nyct/subway/index.html,Neptune Ave,F
http://www.mta.info/nyct/subway/index.html,Ave X,F
http://www.mta.info/nyct/subway/index.html,Bay 50th St,D
http://www.mta.info/nyct/subway/index.html,Gravesend - 86th St,N
http://www.mta.info/nyct/subway/index.html,Ave P,F
http://www.mta.info/nyct/subway/index.html,Ave N,F
http://www.mta.info/nyct/subway/index.html,Bay Pky,F
http://www.mta.info/nyct/subway/index.html,Ave M,B-Q
http://www.mta.info/nyct/subway/index.html,Bay Pky,N
http://www.mta.info/nyct/subway/index.html,Ave I,F
http://www.mta.info/nyct/subway/index.html,Ave J,B-Q
http://www.mta.info/nyct/subway/index.html,Ave H,B-Q
http://www.mta.info/nyct/subway/index.html,Neck Rd,B-Q
http://www.mta.info/nyct/subway/index.html,21st St - Queensbridge,F
http://www.mta.info/nyct/subway/index.html,50th St,A-C-E
http://www.mta.info/nyct/subway/index.html,7th Ave,B-D-E
http://www.mta.info/nyct/subway/index.html,47th-50th Sts - Rockefeller Ctr,B-D-F-M
http://www.mta.info/nyct/subway/index.html,57th St,F
http://www.mta.info/nyct/subway/index.html,Lexington Ave - 63rd St,F
http://www.mta.info/nyct/subway/index.html,Roosevelt Island - Main St,F
http://www.mta.info/nyct/subway/index.html,59th St - Columbus Circle,A-B-C-D
http://www.mta.info/nyct/subway/index.html,49th St,N-Q-R
http://www.mta.info/nyct/subway/index.html,57th St,N-Q-R
http://www.mta.info/nyct/subway/index.html,5th Ave - 59th St,N-Q-R
http://www.mta.info/nyct/subway/index.html,Lexington Ave - 59th St,N-Q-R
http://www.mta.info/nyct/subway/index.html,34th St - Penn Station,1-2-3
http://www.mta.info/nyct/subway/index.html,Times Sq - 42nd St,1-2-3
http://www.mta.info/nyct/subway/index.html,Broadway - Nassau St,A-C
http://www.mta.info/nyct/subway/index.html,Chambers St,A-C
http://www.mta.info/nyct/subway/index.html,42nd St - Port Authority Bus Term,A-C-E
http://www.mta.info/nyct/subway/index.html,Myrtle-Willoughby Aves,G
http://www.mta.info/nyct/subway/index.html,Flushing Ave,G
http://www.mta.info/nyct/subway/index.html,23rd St,F-M
http://www.mta.info/nyct/subway/index.html,Herald Sq - 34th St,B-D-F-M
http://www.mta.info/nyct/subway/index.html,Hoyt - Schermerhorn Sts,A-C-G
http://www.mta.info/nyct/subway/index.html,Jay St - Borough Hall,A-C-F
http://www.mta.info/nyct/subway/index.html,East Broadway,F
http://www.mta.info/nyct/subway/index.html,Delancey St,F
http://www.mta.info/nyct/subway/index.html,Lower East Side - 2nd Ave,F
http://www.mta.info/nyct/subway/index.html,Flushing Ave,J-M
http://www.mta.info/nyct/subway/index.html,Myrtle Ave,J-M-Z
http://www.mta.info/nyct/subway/index.html,4th Ave,F-G
http://www.mta.info/nyct/subway/index.html,Smith - 9th Sts,F-G
http://www.mta.info/nyct/subway/index.html,Bergen St,F-G
http://www.mta.info/nyct/subway/index.html,Lawrence St,N-R
http://www.mta.info/nyct/subway/index.html,Court St,N-R
http://www.mta.info/nyct/subway/index.html,Union Sq - 14th St,N-Q-R
http://www.mta.info/nyct/subway/index.html,23rd St,N-R
http://www.mta.info/nyct/subway/index.html,Prospect Ave,D-N-R
http://www.mta.info/nyct/subway/index.html,9th St,D-N-R
http://www.mta.info/nyct/subway/index.html,3rd Ave,L
http://www.mta.info/nyct/subway/index.html,Union Sq - 14th St,L
http://www.mta.info/nyct/subway/index.html,Liberty Ave,A-C
http://www.mta.info/nyct/subway/index.html,Broadway Junction,A-C
http://www.mta.info/nyct/subway/index.html,59th St,N-R
http://www.mta.info/nyct/subway/index.html,45th St,N-R
http://www.mta.info/nyct/subway/index.html,36th St,D-N-R
http://www.mta.info/nyct/subway/index.html,9th Ave,D
http://www.mta.info/nyct/subway/index.html,53rd St,N-R
http://www.mta.info/nyct/subway/index.html,Ft Hamilton Pkwy,D
http://www.mta.info/nyct/subway/index.html,25th St,D-N-R
http://www.mta.info/nyct/subway/index.html,Carroll St,F-G
http://www.mta.info/nyct/subway/index.html,Spring St,A-C-E
http://www.mta.info/nyct/subway/index.html,181st St,A
http://www.mta.info/nyct/subway/index.html,190th St,A
http://www.mta.info/nyct/subway/index.html,116th St,A-B-C
http://www.mta.info/nyct/subway/index.html,125th St,A-B-C-D
http://www.mta.info/nyct/subway/index.html,Prince St,N-R
http://www.mta.info/nyct/subway/index.html,8th St - NYU,N-R
http://www.mta.info/nyct/subway/index.html,Fulton St,2-3
http://www.mta.info/nyct/subway/index.html,Park Pl,2-3
http://www.mta.info/nyct/subway/index.html,Chambers St,1-2-3
http://www.mta.info/nyct/subway/index.html,Hoyt St,2-3
http://www.mta.info/nyct/subway/index.html,Borough Hall,2-3
http://www.mta.info/nyct/subway/index.html,183rd St,4
http://www.mta.info/nyct/subway/index.html,Fordham Rd,4
http://www.mta.info/nyct/subway/index.html,World Trade Center,E
http://www.mta.info/nyct/subway/index.html,Canal St - Holland Tunnel,A-C-E
http://www.mta.info/nyct/subway/index.html,155th St,A-C
http://www.mta.info/nyct/subway/index.html,163rd St - Amsterdam Av,A-C
http://www.mta.info/nyct/subway/index.html,Fulton St,J-Z
http://www.mta.info/nyct/subway/index.html,Chambers St,J-Z
http://www.mta.info/nyct/subway/index.html,Canal St,J-Z
http://www.mta.info/nyct/subway/index.html,City Hall,N-R
http://www.mta.info/nyct/subway/index.html,Canal St,N-R
http://www.mta.info/nyct/subway/index.html,South Ferry,1
http://www.mta.info/nyct/subway/index.html,Bowling Green,4-5
http://www.mta.info/nyct/subway/index.html,Wall St,4-5
http://www.mta.info/nyct/subway/index.html,Whitehall St,N-R
http://www.mta.info/nyct/subway/index.html,Rector St,N-R
http://www.mta.info/nyct/subway/index.html,Fresh Pond Rd,M
http://www.mta.info/nyct/subway/index.html,Middle Village - Metropolitan Ave,M
http://www.mta.info/nyct/subway/index.html,Rector St,1
http://www.mta.info/nyct/subway/index.html,Cortlandt St (Temporarily Closed),1
http://www.mta.info/nyct/subway/index.html,Fulton St,4-5
http://www.mta.info/nyct/subway/index.html,Broad St,J-Z
http://www.mta.info/nyct/subway/index.html,Cortlandt St (NB only),N-R
http://www.mta.info/nyct/subway/index.html,Wall St,2-3
http://www.mta.info/nyct/subway/index.html,Dyckman St,A
http://www.mta.info/nyct/subway/index.html,Grand St,B-D
http://www.mta.info/nyct/subway/index.html,Broadway - Lafayette St,B-D-F-M
http://www.mta.info/nyct/subway/index.html,Bowery,J-Z
http://www.mta.info/nyct/subway/index.html,Canal St,N-Q
http://www.mta.info/nyct/subway/index.html,23rd St,A-C-E
http://www.mta.info/nyct/subway/index.html,34th St - Penn Station,A-C-E
http://www.mta.info/nyct/subway/index.html,Jackson Hts - Roosevelt Av,E-F-M-R
http://www.mta.info/nyct/subway/index.html,14th St,1-2-3
http://www.mta.info/nyct/subway/index.html,135th St,A-B-C
http://www.mta.info/nyct/subway/index.html,14th St,F-M
http://www.mta.info/nyct/subway/index.html,6th Ave,L
http://www.mta.info/nyct/subway/index.html,8th Ave,L
http://www.mta.info/nyct/subway/index.html,14th St,A-C-E
http://www.mta.info/nyct/subway/index.html,Nostrand Ave,3-4
http://www.mta.info/nyct/subway/index.html,Clark St,2-3
http://www.mta.info/nyct/subway/index.html,Franklin Ave,A-C
http://www.mta.info/nyct/subway/index.html,Clinton - Washington Aves,A-C
http://www.mta.info/nyct/subway/index.html,Forest Ave,M
http://www.mta.info/nyct/subway/index.html,110th St,4-6-6 Express
http://www.mta.info/nyct/subway/index.html,86th St,4-5-6-6 Express
http://www.mta.info/nyct/subway/index.html,York St,F
http://www.mta.info/nyct/subway/index.html,High St,A-C
http://www.mta.info/nyct/subway/index.html,Lafayette Ave,A-C
http://www.mta.info/nyct/subway/index.html,President St,2-5
http://www.mta.info/nyct/subway/index.html,Woodlawn,4
http://www.mta.info/nyct/subway/index.html,Bleecker St (Uptown),4-6-6 Express
http://www.mta.info/nyct/subway/index.html,103rd St,4-6-6 Express
http://www.mta.info/nyct/subway/index.html,Euclid Ave,A-C-S
http://www.mta.info/nyct/subway/index.html,88th St,A-S
http://www.mta.info/nyct/subway/index.html,Cortelyou Rd,B-Q
http://www.mta.info/nyct/subway/index.html,116th St,4-6-6 Express
http://www.mta.info/nyct/subway/index.html,Parkchester,6-6 Express
http://www.mta.info/nyct/subway/index.html,Franklin St,1-2
http://www.mta.info/nyct/subway/index.html,80th St,A-S
http://www.mta.info/nyct/subway/index.html,5th Ave - Bryant Pk,7-7 Express
http://www.mta.info/nyct/subway/index.html,Spring St,4-6-6 Express
http://www.mta.info/nyct/subway/index.html,125th St,4-5-6-6 Express
http://www.mta.info/nyct/subway/index.html,Coney Island - Stillwell Av,D-F-N-Q
